ED_RAW,ED,YEAR,ELECTION,CANDIDATE,PARTY,VOTES_RAW,SHARE,VOTES_EST
FIL 1,FIL 001,2019,Primary,Mitch Nowakowski,Democratic,54,1,54
FIL 1,FIL 001,2019,Primary,Gerhardt J. Yaskow,Democratic,34,1,34
FIL 1,FIL 001,2019,Primary,Tina Sanders,Democratic,10,1,10
FIL 1,FIL 001,2019,Primary,Pharoah V. Paige,Democratic,1,1,1
FIL 1,FIL 001,2019,Primary,"Blank, Void & Scattering",N/A,0,1,0
FIL 3,FIL 003,2019,Primary,Mitch Nowakowski,Democratic,32,1,32
FIL 3,FIL 003,2019,Primary,Gerhardt J. Yaskow,Democratic,9,1,9
FIL 3,FIL 003,2019,Primary,Tina Sanders,Democratic,9,1,9
FIL 3,FIL 003,2019,Primary,"Blank, Void & Scattering",N/A,0,1,0
FIL 3,FIL 003,2019,Primary,Pharoah V. Paige,Democratic,0,1,0
FIL 5,FIL 005,2019,Primary,Mitch Nowakowski,Democratic,48,1,48
FIL 5,FIL 005,2019,Primary,Gerhardt J. Yaskow,Democratic,19,1,19
FIL 5,FIL 005,2019,Primary,Tina Sanders,Democratic,11,1,11
FIL 5,FIL 005,2019,Primary,Pharoah V. Paige,Democratic,5,1,5
FIL 5,FIL 005,2019,Primary,"Blank, Void & Scattering",N/A,0,1,0
FIL 8,FIL 008,2019,Primary,Mitch Nowakowski,Democratic,69,1,69
FIL 8,FIL 008,2019,Primary,Gerhardt J. Yaskow,Democratic,56,1,56
FIL 8,FIL 008,2019,Primary,Tina Sanders,Democratic,17,1,17
FIL 8,FIL 008,2019,Primary,Pharoah V. Paige,Democratic,14,1,14
FIL 8,FIL 008,2019,Primary,"Blank, Void & Scattering",N/A,2,1,2
FIL 9,FIL 009,2019,Primary,Pharoah V. Paige,Democratic,26,1,26
FIL 9,FIL 009,2019,Primary,Tina Sanders,Democratic,12,1,12
FIL 9,FIL 009,2019,Primary,Mitch Nowakowski,Democratic,3,1,3
FIL 9,FIL 009,2019,Primary,"Blank, Void & Scattering",N/A,0,1,0
FIL 9,FIL 009,2019,Primary,Gerhardt J. Yaskow,Democratic,0,1,0
FIL 10,FIL 010,2019,Primary,Pharoah V. Paige,Democratic,38,1,38
FIL 10,FIL 010,2019,Primary,Tina Sanders,Democratic,24,1,24
FIL 10,FIL 010,2019,Primary,Mitch Nowakowski,Democratic,11,1,11
FIL 10,FIL 010,2019,Primary,Gerhardt J. Yaskow,Democratic,10,1,10
FIL 10,FIL 010,2019,Primary,"Blank, Void & Scattering",N/A,4,1,4
FIL 14 ,FIL 014,2019,Primary,Gerhardt J. Yaskow,Democratic,62,1,62
FIL 14 ,FIL 014,2019,Primary,Mitch Nowakowski,Democratic,30,1,30
FIL 14 ,FIL 014,2019,Primary,Tina Sanders,Democratic,2,1,2
FIL 14 ,FIL 014,2019,Primary,Pharoah V. Paige,Democratic,1,1,1
FIL 14 ,FIL 014,2019,Primary,"Blank, Void & Scattering",N/A,0,1,0
FIL 16,FIL 016,2019,Primary,Gerhardt J. Yaskow,Democratic,13,1,13
FIL 16,FIL 016,2019,Primary,Mitch Nowakowski,Democratic,3,1,3
FIL 16,FIL 016,2019,Primary,Pharoah V. Paige,Democratic,1,1,1
FIL 16,FIL 016,2019,Primary,Tina Sanders,Democratic,1,1,1
FIL 16,FIL 016,2019,Primary,"Blank, Void & Scattering",N/A,0,1,0
FIL 17,FIL 017,2019,Primary,Gerhardt J. Yaskow,Democratic,2,1,2
FIL 17,FIL 017,2019,Primary,Mitch Nowakowski,Democratic,2,1,2
FIL 17,FIL 017,2019,Primary,"Blank, Void & Scattering",N/A,1,1,1
FIL 17,FIL 017,2019,Primary,Pharoah V. Paige,Democratic,0,1,0
FIL 17,FIL 017,2019,Primary,Tina Sanders,Democratic,0,1,0
FIL 19,FIL 019,2019,Primary,Gerhardt J. Yaskow,Democratic,59,1,59
FIL 19,FIL 019,2019,Primary,Mitch Nowakowski,Democratic,17,1,17
FIL 19,FIL 019,2019,Primary,"Blank, Void & Scattering",N/A,4,1,4
FIL 19,FIL 019,2019,Primary,Tina Sanders,Democratic,1,1,1
FIL 19,FIL 019,2019,Primary,Pharoah V. Paige,Democratic,0,1,0
FIL 31,FIL 031,2019,Primary,Tina Sanders,Democratic,20,1,20
FIL 31,FIL 031,2019,Primary,Mitch Nowakowski,Democratic,11,1,11
FIL 31,FIL 031,2019,Primary,Gerhardt J. Yaskow,Democratic,8,1,8
FIL 31,FIL 031,2019,Primary,"Blank, Void & Scattering",N/A,3,1,3
FIL 31,FIL 031,2019,Primary,Pharoah V. Paige,Democratic,3,1,3
FIL 11 (35),FIL 011,2019,Primary,Tina Sanders,Democratic,96,0.795694557,76.3866775
FIL 11 (35),FIL 011,2019,Primary,Pharoah V. Paige,Democratic,54,0.795694557,42.96750609
FIL 11 (35),FIL 011,2019,Primary,Gerhardt J. Yaskow,Democratic,22,0.795694557,17.50528026
FIL 11 (35),FIL 011,2019,Primary,Mitch Nowakowski,Democratic,16,0.795694557,12.73111292
FIL 11 (35),FIL 011,2019,Primary,"Blank, Void & Scattering",N/A,4,0.795694557,3.182778229
