OBJECTID,GEOID20,ED,name20,2011_district,2024_district,Total Population,White,Black,American Indian,Asian,Native Hawaiian,Some Other,Two or More,Hispanic
8,3.6029E+14,FIL 19,Block 1023,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
9,3.6029E+14,FIL 19,Block 1022,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
10,3.6029E+14,FIL 17,Block 2008,FILLMORE,FILLMORE,19,3,5,0,0,0,4,7,13
11,3.6029E+14,FIL 19,Block 2007,FILLMORE,FILLMORE,102,61,20,0,0,0,14,7,17
12,3.6029E+14,FIL 17,Block 2014,FILLMORE,FILLMORE,73,44,21,0,0,0,3,5,12
17,3.6029E+14,FIL 17,Block 2006,FILLMORE,FILLMORE,84,39,32,0,4,0,0,9,8
18,3.6029E+14,FIL 17,Block 2012,FILLMORE,FILLMORE,78,54,13,7,0,0,0,4,7
37,3.6029E+14,FIL 7,Block 1001,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
47,3.6029E+14,FIL 26,Block 1012,FILLMORE,FILLMORE,125,20,77,0,19,0,4,5,2
48,3.6029E+14,FIL 26,Block 1015,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
53,3.6029E+14,ELL 24,Block 2013,ELLICOTT,FILLMORE,0,0,0,0,0,0,0,0,0
54,3.6029E+14,ELL 24,Block 2022,ELLICOTT,FILLMORE,29,29,0,0,0,0,0,0,0
55,3.6029E+14,ELL 24,Block 1009,ELLICOTT,FILLMORE,0,0,0,0,0,0,0,0,0
56,3.6029E+14,ELL 24,Block 1019,ELLICOTT,FILLMORE,0,0,0,0,0,0,0,0,0
57,3.6029E+14,ELL 24,Block 1008,ELLICOTT,FILLMORE,19,7,8,0,2,0,0,2,0
58,3.6029E+14,ELL 24,Block 1014,ELLICOTT,FILLMORE,9,6,1,0,0,0,0,2,1
59,3.6029E+14,ELL 24,Block 1017,ELLICOTT,FILLMORE,0,0,0,0,0,0,0,0,0
60,3.6029E+14,ELL 24,Block 2017,ELLICOTT,FILLMORE,0,0,0,0,0,0,0,0,0
61,3.6029E+14,ELL 25,Block 2004,ELLICOTT,FILLMORE,20,15,3,0,0,0,0,2,2
