ED,CANDIDATE,PARTY,VOTES,YEAR,RACE
ELL 001,YES,n/a,14,2002,Proposition
ELL 001,NO,n/a,161,2002,Proposition
ELL 001,"Blank, Void & Scattering",n/a,81,2002,Proposition
ELL 001," Blank, Void & Scattering                                                                     ",n/a,1,2005,Mayor
ELL 001,Byron W. Brown,Democrat,21,2005,Mayor
ELL 001,Byron W. Brown                                                         ,Working Families,1,2005,Mayor
ELL 001,Charles J. Flynn,Independence,1,2005,Mayor
ELL 001,Judith S. Einach                                             ,Green,13,2005,Mayor
ELL 001,Kevin J. Helfer,Republican/Strong Leadership,37,2005,Mayor
ELL 001,Kevin J. Helfer,Conservative,0,2005,Mayor
ELL 001,Barack Obama/Joe Biden,Democratic,99,2008,President
ELL 001,Barack Obama/Joe Biden,Working Families,5,2008,President
ELL 001,"Blank, Void & Scattering                                                                     ",n/a,3,2008,President
ELL 001,Bob Barr/Wayne A. Root,Libertarian,2,2008,President
ELL 001,Cynthia McKinney/Rosa Clemente,Green,0,2008,President
ELL 001,Gloria LaRiva/Eugene Puryear,Socialism & Liberation,0,2008,President
ELL 001,John McCain/Sarah Palin,Conservative,1,2008,President
ELL 001,John McCain/Sarah Palin,Independence,5,2008,President
ELL 001,John McCain/Sarah Palin,Republican,16,2008,President
ELL 001,"President, Write In",n/a,1,2008,President
ELL 001,Ralph Nader/Matt Gonzalez,Populist,3,2008,President
ELL 001,Roger Calero/Alyson Kennedy,Socialist Workers,0,2008,President
ELL 001," Blank, Void & Scattering                                                                     ",n/a,21,2009,Mayor
ELL 001,Byron W. Brown,Democratic,12,2009,Mayor
ELL 001,Byron W. Brown,Independence,1,2009,Mayor
ELL 001,Byron W. Brown                                                                 ,Working Families,1,2009,Mayor
ELL 001,Byron W. Brown,Conservative,0,2009,Mayor
ELL 001,Michael P. Kearns                                                      ,Write-In,3,2009,Mayor
ELL 001,"Blank, Void & Scattering                                                                     ",n/a,2,2011,County Executive
ELL 001,Chris Collins,Conservative,4,2011,County Executive
ELL 001,Chris Collins,Independence,1,2011,County Executive
ELL 001,Chris Collins,Republican,12,2011,County Executive
ELL 001,Mark C. Poloncarz,Democratic,47,2011,County Executive
ELL 001,Mark C. Poloncarz,Working Families,6,2011,County Executive
ELL 001,Barack Obama/Joe Biden,Democratic,717,2012,President
ELL 001,Barack Obama/Joe Biden,Working Families,16,2012,President
ELL 001,"Blank, Void & Scattering                                                                     ",n/a,17,2012,President
ELL 001,Gary Johnson/James P. Gray,Libertarian,3,2012,President
ELL 001,Jill Stein/Cheri Honkala,Green,11,2012,President
ELL 001,Mitt Romney/Paul Ryan,Conservative,5,2012,President
ELL 001,Mitt Romney/Paul Ryan,Republican,69,2012,President
ELL 001,Peta Lindsay/Yari Osorio,Socialism and Lib,0,2012,President
ELL 001,"President, Write In",n/a,0,2012,President
ELL 001,Virgil Goode/Jim Clymer,Constitution,1,2012,President
ELL 001,"Blank, Void & Scattering                                                                     ",n/a,17,2013,Mayor
ELL 001,Byron W. Brown,Conservative,7,2013,Mayor
ELL 001,Byron W. Brown,Democratic,250,2013,Mayor
ELL 001,Byron W. Brown,Independence,4,2013,Mayor
ELL 001,Byron W. Brown,Working Families,9,2013,Mayor
ELL 001,Sergio R. Rodriguez,Progressive,16,2013,Mayor
ELL 001,Sergio R. Rodriguez,Republican,79,2013,Mayor
ELL 001,"Blank, Void & Scattering                                                                     ",n/a,12,2015,County Executive
ELL 001,Eric Jones,Green,10,2015,County Executive
ELL 001,Mark C. Poloncarz,Democratic,175,2015,County Executive
ELL 001,Mark C. Poloncarz,Working Families,8,2015,County Executive
ELL 001,Mark C. Poloncarz,Women's Equality,8,2015,County Executive
ELL 001,Raymond W. Walter,Republican,14,2015,County Executive
ELL 001,Raymond W. Walter,Independence,1,2015,County Executive
ELL 001,Raymond W. Walter,Reform,0,2015,County Executive
ELL 001,Raymond W. Walter,Conservative,3,2015,County Executive
ELL 001,"Blank, Void, & Scattering",n/a,4,2016,President
ELL 001,Donald J Trump/ Michael R Pence,Republican,74,2016,President
ELL 001,Donald J Trump/ Michael R Pence,Conservative,13,2016,President
ELL 001,Gary Johnson/ Bill Weld,Independence,4,2016,President
ELL 001,Gary Johnson/ Bill Weld,Libertarian,10,2016,President
ELL 001,Hillary Clinton/ Tim Kaine,Women's Equality,9,2016,President
ELL 001,Hillary Clinton/ Tim Kaine,Working Families,16,2016,President
ELL 001,Hillary Clinton/ Tim Kaine,Democratic,669,2016,President
ELL 001,Jill Stein/ Ajamu Baraka,Green,24,2016,President
ELL 001,"President, Write In",n/a,2,2016,President
ELL 001,Anita L Howard,Conservative,7,2017,Mayor
ELL 001,"Blank, Void & Scattering                                                                     ",n/a,26,2017,Mayor
ELL 001,Byron W Brown,Democratic,264,2017,Mayor
ELL 001,Byron W Brown,Independence,5,2017,Mayor
ELL 001,Byron W Brown,Women's Equality,7,2017,Mayor
ELL 001,Byron W Brown,Working Families,12,2017,Mayor
ELL 001,Mark J F Schroeder,Reform,79,2017,Mayor
ELL 001,Taniqua Simmons,Write-In,0,2017,Mayor
ELL 001,Terrence A Robinson,Green,21,2017,Mayor
ELL 001,"Blank, Void, & Scattering",n/a,45,2018,Senate
ELL 001,Chele Chiavacci Farley,Conservative,17,2018,Senate
ELL 001,Chele Chiavacci Farley,Reform,2,2018,Senate
ELL 001,Chele Chiavacci Farley,Republican,48,2018,Senate
ELL 001,Kirsten E Gillibrand,Democratic,550,2018,Senate
ELL 001,Kirsten E Gillibrand,Independence,10,2018,Senate
ELL 001,Kirsten E Gillibrand,Women's Equality,8,2018,Senate
ELL 001,Kirsten E Gillibrand,Working Families,34,2018,Senate
ELL 001,Andrew M Cuomo/ Kathy C Hochul,Democratic,517,2018,Governor
ELL 001,Andrew M Cuomo/ Kathy C Hochul,Independence,9,2018,Governor
ELL 001,Andrew M Cuomo/ Kathy C Hochul,Working Families,26,2018,Governor
ELL 001,Andrew M Cuomo/ Kathy C Hochul,Women's Equality,6,2018,Governor
ELL 001,"Blank, Void, & Scattering",n/a,27,2018,Governor
ELL 001,Howie Hawkins/ Jia Lee,Green,29,2018,Governor
ELL 001,Larry Sharpe/ Andrew C Hollister,Libertarian,11,2018,Governor
ELL 001,Marc Molinaro/ Julie Killian,Conservative,16,2018,Governor
ELL 001,Marc Molinaro/ Julie Killian,Reform,3,2018,Governor
ELL 001,Marc Molinaro/ Julie Killian,Republican,56,2018,Governor
ELL 001,Stephanie A Miner/ Michael J Volpe,SAM,9,2018,Governor
ELL 001,"Blank, Void, & Scattering",n/a,19,2019,County Executive
ELL 001,Lynne Dixon,Conservative,13,2019,County Executive
ELL 001,Lynne Dixon,Independence,3,2019,County Executive
ELL 001,Lynne Dixon,Republican,32,2019,County Executive
ELL 001,Lynne Dixon,SAM,0,2019,County Executive
ELL 001,Mark C. Poloncarz,Democratic,301,2019,County Executive
ELL 001,Mark C. Poloncarz,Working Families,20,2019,County Executive
ELL 001,Barbara Miller-Williams,Democratic,278,2019,Comptroller
ELL 001,Barbara Miller-Williams,Independence,10,2019,Comptroller
ELL 001,Barbara Miller-Williams,Working Families,16,2019,Comptroller
ELL 001,"Blank, Void, & Scattering",n/a,42,2019,Comptroller
ELL 001,Ross M. Kostecky,Republican,42,2019,Comptroller
ELL 001,"Blank, Void & Scattering                                                                     ",n/a,12,2020,President
ELL 001,Brock Pierce/Karla Ballard,Independence,3,2020,President
ELL 001,Donald J. Trump/Michael R. Pence,Conservative,11,2020,President
ELL 001,Donald J. Trump/Michael R. Pence,Republican,88,2020,President
ELL 001,Howie Hawkins/Angela Nicole Walker,Green,3,2020,President
ELL 001,Jo Jorgensen/Jeremy Cohen,Libertarian,10,2020,President
ELL 001,Joseph R. Biden/Kamala D. Harris,Democratic,790,2020,President
ELL 001,Joseph R. Biden/Kamala D. Harris,Working Families,65,2020,President
ELL 001,"President, Write in",n/a,0,2020,President
ELL 001,"Blank, Void, Scattering",n/a,51,2020,Congress
ELL 001,Brian Higgins,SAM,3,2020,Congress
ELL 001,Brian Higgins,Working Families,77,2020,Congress
ELL 001,Brian Higgins,Democratic,757,2020,Congress
ELL 001,Michael P. Raleigh,Green,21,2020,Congress
ELL 001,Ricky T. Donovan Sr.,Republican,73,2020,Congress
ELL 001,"Blank, Void, Scattering",n/a,39,2021,Sheriff
ELL 001,John C. Garcia,Back the Blue/Guardian,4,2021,Sheriff
ELL 001,John C. Garcia,Republican,74,2021,Sheriff
ELL 001,Karen L. Healy-Case,Conservative,9,2021,Sheriff
ELL 001,Kimberly Beaty,Democratic,459,2021,Sheriff
ELL 001,Kimberly Beaty,Justice & Peace,19,2021,Sheriff
ELL 001,Theodore C. DiNoto,Public Service,10,2021,Sheriff
ELL 001,Ben Carlisle,Write-In,0,2021,Mayor
ELL 001,"Blank, Void, and Scattering",n/a,13,2021,Mayor
ELL 001,Byron Brown,Write-In,255,2021,Mayor
ELL 001,India B. Walton,Democratic,346,2021,Mayor
ELL 001,Jaz Miles,Write-In,0,2021,Mayor
ELL 001,William O'Dell,Write-In,0,2021,Mayor
ELL 001,"Blank, Void, Scattering",n/a,72,2021,Comptroller
ELL 001,Duane J. Whitmer,Libertarian,4,2021,Comptroller
ELL 001,Kevin R. Hardwick,Democratic,406,2021,Comptroller
ELL 001,Kevin R. Hardwick,Working Families/Integrity,58,2021,Comptroller
ELL 001,Lynne Dixon,Republican,53,2021,Comptroller
ELL 001,Lynne Dixon,Conservative,21,2021,Comptroller
ELL 001,"Blank, Void, Scattering",n/a,15,2022,Senate
ELL 001,Charles E. Schumer,Working Families,67,2022,Senate
ELL 001,Charles E. Schumer,Democratic,519,2022,Senate
ELL 001,Diane Sare,LaRouche,6,2022,Senate
ELL 001,Joe Pinion,Conservative,16,2022,Senate
ELL 001,Joe Pinion,Republican,57,2022,Senate
ELL 001,"Blank, Void, Scattering",n/a,16,2022,Governor
ELL 001,Kathy C. Hochul / Antonio Delgado,Democratic,522,2022,Governor
ELL 001,Kathy C. Hochul / Antonio Delgado,Working Families,58,2022,Governor
ELL 001,Lee Zeldin / Alison Esposito,Conservative,14,2022,Governor
ELL 001,Lee Zeldin / Alison Esposito,Republican,70,2022,Governor
ELL 001,"Blank, Void, Scattering",n/a,21,2022,Congress
ELL 001,Brian Higgins,Working Families,68,2022,Congress
ELL 001,Brian Higgins,Democratic,522,2022,Congress
ELL 001,Steven L. Sams II,Conservative,13,2022,Congress
ELL 001,Steven L. Sams II,Republican,56,2022,Congress
ELL 001,"Blank, Void, Scattering",n/a,40,2022,Comptroller
ELL 001,Paul Rodriguez,Conservative,12,2022,Comptroller
ELL 001,Paul Rodriguez,Republican,70,2022,Comptroller
ELL 001,Thomas P. DiNapoli,Working Families,64,2022,Comptroller
ELL 001,Thomas P. DiNapoli,Democratic,494,2022,Comptroller
ELL 002,YES,n/a,14,2002,Proposition
ELL 002,NO,n/a,66,2002,Proposition
ELL 002,"Blank, Void & Scattering",n/a,55,2002,Proposition
ELL 002," Blank, Void & Scattering                                                                     ",n/a,2,2005,Mayor
ELL 002,Byron W. Brown,Democrat,103,2005,Mayor
ELL 002,Byron W. Brown                                                         ,Working Families,7,2005,Mayor
ELL 002,Charles J. Flynn,Independence,6,2005,Mayor
ELL 002,Judith S. Einach                                             ,Green,2,2005,Mayor
ELL 002,Kevin J. Helfer,Republican/Strong Leadership,6,2005,Mayor
ELL 002,Kevin J. Helfer,Conservative,0,2005,Mayor
ELL 002,Barack Obama/Joe Biden,Democratic,173,2008,President
ELL 002,Barack Obama/Joe Biden,Working Families,3,2008,President
ELL 002,"Blank, Void & Scattering                                                                     ",n/a,1,2008,President
ELL 002,Bob Barr/Wayne A. Root,Libertarian,0,2008,President
ELL 002,Cynthia McKinney/Rosa Clemente,Green,0,2008,President
ELL 002,Gloria LaRiva/Eugene Puryear,Socialism & Liberation,0,2008,President
ELL 002,John McCain/Sarah Palin,Conservative,0,2008,President
ELL 002,John McCain/Sarah Palin,Independence,2,2008,President
ELL 002,John McCain/Sarah Palin,Republican,7,2008,President
ELL 002,"President, Write In",n/a,0,2008,President
ELL 002,Ralph Nader/Matt Gonzalez,Populist,1,2008,President
ELL 002,Roger Calero/Alyson Kennedy,Socialist Workers,0,2008,President
ELL 002," Blank, Void & Scattering                                                                     ",n/a,5,2009,Mayor
ELL 002,Byron W. Brown,Democratic,49,2009,Mayor
ELL 002,Byron W. Brown,Independence,1,2009,Mayor
ELL 002,Byron W. Brown                                                                 ,Working Families,3,2009,Mayor
ELL 002,Byron W. Brown,Conservative,1,2009,Mayor
ELL 002,"Blank, Void & Scattering                                                                     ",n/a,2,2011,County Executive
ELL 002,Chris Collins,Conservative,1,2011,County Executive
ELL 002,Chris Collins,Independence,2,2011,County Executive
ELL 002,Chris Collins,Republican,5,2011,County Executive
ELL 002,Mark C. Poloncarz,Democratic,70,2011,County Executive
ELL 002,Mark C. Poloncarz,Working Families,1,2011,County Executive
ELL 002,Barack Obama/Joe Biden,Democratic,126,2012,President
ELL 002,Barack Obama/Joe Biden,Working Families,9,2012,President
ELL 002,"Blank, Void & Scattering                                                                     ",n/a,3,2012,President
ELL 002,Gary Johnson/James P. Gray,Libertarian,2,2012,President
ELL 002,Jill Stein/Cheri Honkala,Green,5,2012,President
ELL 002,Mitt Romney/Paul Ryan,Conservative,2,2012,President
ELL 002,Mitt Romney/Paul Ryan,Republican,17,2012,President
ELL 002,Peta Lindsay/Yari Osorio,Socialism and Lib,0,2012,President
ELL 002,"President, Write In",n/a,0,2012,President
ELL 002,Virgil Goode/Jim Clymer,Constitution,0,2012,President
ELL 002,"Blank, Void & Scattering                                                                     ",n/a,2,2013,Mayor
ELL 002,Byron W. Brown,Conservative,0,2013,Mayor
ELL 002,Byron W. Brown,Democratic,32,2013,Mayor
ELL 002,Byron W. Brown,Independence,1,2013,Mayor
ELL 002,Byron W. Brown,Working Families,4,2013,Mayor
ELL 002,Sergio R. Rodriguez,Progressive,7,2013,Mayor
ELL 002,Sergio R. Rodriguez,Republican,31,2013,Mayor
ELL 002,"Blank, Void & Scattering                                                                     ",n/a,2,2015,County Executive
ELL 002,Eric Jones,Green,4,2015,County Executive
ELL 002,Mark C. Poloncarz,Democratic,31,2015,County Executive
ELL 002,Mark C. Poloncarz,Working Families,4,2015,County Executive
ELL 002,Mark C. Poloncarz,Women's Equality,2,2015,County Executive
ELL 002,Raymond W. Walter,Republican,2,2015,County Executive
ELL 002,Raymond W. Walter,Independence,0,2015,County Executive
ELL 002,Raymond W. Walter,Reform,1,2015,County Executive
ELL 002,Raymond W. Walter,Conservative,4,2015,County Executive
ELL 002,"Blank, Void, & Scattering",n/a,1,2016,President
ELL 002,Donald J Trump/ Michael R Pence,Republican,23,2016,President
ELL 002,Donald J Trump/ Michael R Pence,Conservative,1,2016,President
ELL 002,Gary Johnson/ Bill Weld,Independence,2,2016,President
ELL 002,Gary Johnson/ Bill Weld,Libertarian,1,2016,President
