OBJECTID,GEOID20,ED,FIL,nbhdname,Total Population,White,Black,American Indian,Asian,Native Hawaiian,Some Other,Two or More,Hispanic
8,360290017001023,FIL-019,FIL-019,Seneca Babcock,0,0,0,0,0,0,0,0,0
9,360290017001022,FIL-019,FIL-019,Seneca Babcock,0,0,0,0,0,0,0,0,0
10,360290163002008,FIL-017,FIL-017,Seneca Babcock,19,3,5,0,0,0,4,7,13
11,360290163002007,FIL-019,FIL-019,Seneca Babcock,102,61,20,0,0,0,14,7,17
12,360290163002014,FIL-017,FIL-017,Seneca Babcock,73,44,21,0,0,0,3,5,12
17,360290163002006,FIL-017,FIL-017,Seneca Babcock,84,39,32,0,4,0,0,9,8
18,360290163002012,FIL-017,FIL-017,Seneca Babcock,78,54,13,7,0,0,0,4,7
37,360290071021001,FIL-007,FIL-007,Lower West Side,0,0,0,0,0,0,0,0,0
47,360290027031012,FIL-026,FIL-030,Broadway Fillmore,125,20,77,0,19,0,4,5,2
48,360290027031015,FIL-026,FIL-030,Broadway Fillmore,0,0,0,0,0,0,0,0,0
53,360290165002013,ELL-024,FIL-007,Central,0,0,0,0,0,0,0,0,0
54,360290165002022,ELL-024,FIL-007,Central,29,29,0,0,0,0,0,0,0
55,360290165001009,ELL-024,FIL-010,Central,0,0,0,0,0,0,0,0,0
56,360290165001019,ELL-024,FIL-007,Central,0,0,0,0,0,0,0,0,0
57,360290165001008,ELL-024,FIL-010,Central,19,7,8,0,2,0,0,2,0
58,360290165001014,ELL-024,FIL-010,Central,9,6,1,0,0,0,0,2,1
59,360290165001017,ELL-024,FIL-010,Central,0,0,0,0,0,0,0,0,0
60,360290165002017,ELL-024,FIL-010,Central,0,0,0,0,0,0,0,0,0
61,360290165002004,ELL-025,FIL-010,Central,20,15,3,0,0,0,0,2,2
62,360290165001007,ELL-024,FIL-010,Central,0,0,0,0,0,0,0,0,0
63,360290165001013,ELL-024,FIL-010,Central,31,26,3,0,0,0,2,0,4
65,360290165001004,ELL-025,FIL-010,Central,128,82,31,3,3,0,3,6,17
66,360290165001023,ELL-025,FIL-010,Central,18,10,6,1,1,0,0,0,2
67,360290165001057,FIL-007,FIL-007,Central,0,0,0,0,0,0,0,0,0
68,360290165001060,FIL-007,FIL-010,Central,20,16,2,0,1,0,0,1,1
69,360290165001033,ELL-029,FIL-010,Central,0,0,0,0,0,0,0,0,0
70,360290165001059,FIL-007,FIL-010,Central,0,0,0,0,0,0,0,0,0
71,360290072021015,FIL-008,FIL-008,Central,9,3,3,0,0,0,0,3,7
72,360290165001064,FIL-010,FIL-010,Central,29,24,4,0,0,0,0,1,1
146,360290005001023,SOU-000,FIL-013,First Ward,0,0,0,0,0,0,0,0,0
148,360290071031000,ELL-002,FIL-002,Lower West Side,186,81,43,0,0,0,40,22,78
162,360290071021010,FIL-007,FIL-007,Central,0,0,0,0,0,0,0,0,0
163,360290017001008,FIL-020,FIL-020,Broadway Fillmore,55,8,37,0,0,0,3,7,8
165,360290024005016,FIL-025,FIL-025,Lovejoy,0,0,0,0,0,0,0,0,0
178,360290016011016,FIL-025,FIL-021,Broadway Fillmore,0,0,0,0,0,0,0,0,0
179,360290068022005,FIL-002,FIL-002,Allentown,9,4,0,0,0,0,3,2,2
184,360290017001001,FIL-019,FIL-019,Broadway Fillmore,0,0,0,0,0,0,0,0,0
185,360290163002010,FIL-017,FIL-017,Seneca Babcock,12,7,1,0,0,0,0,4,1
