ED,YEAR,ELECTION,CANDIDATES,PARTY,VOTES
ELL 002,2021,General,Ben Carlisle,Write-In,1
ELL 002,2021,General,"Blank, Void, and Scattering",Write-In,0
ELL 002,2021,General,Byron Brown,Write-In,66
ELL 002,2021,General,India B. Walton,Democratic,99
ELL 002,2021,General,Jaz Miles,Write-In,0
ELL 002,2021,General,William O'Dell,Write-In,0
ELL 002,2019,General,Darius G. Pridgen,Democratic,73
ELL 002,2019,General,"Blank, Void, & Scattering",N/A,23
ELL 008,2021,General,Ben Carlisle,Write-In,0
ELL 008,2021,General,"Blank, Void, and Scattering",Write-In,4
ELL 008,2021,General,Byron Brown,Write-In,41
ELL 008,2021,General,India B. Walton,Democratic,31
ELL 008,2021,General,Jaz Miles,Write-In,0
ELL 008,2021,General,William O'Dell,Write-In,0
ELL 008,2019,General,Darius G. Pridgen,Democratic,35
ELL 008,2019,General,"Blank, Void, & Scattering",N/A,5
ELL 009,2021,General,Ben Carlisle,Write-In,0
ELL 009,2021,General,"Blank, Void, and Scattering",Write-In,1
ELL 009,2021,General,Byron Brown,Write-In,32
ELL 009,2021,General,India B. Walton,Democratic,51
ELL 009,2021,General,Jaz Miles,Write-In,0
ELL 009,2021,General,William O'Dell,Write-In,0
ELL 009,2019,General,Darius G. Pridgen,Democratic,39
ELL 009,2019,General,"Blank, Void, & Scattering",N/A,7
ELL 014,2021,General,Ben Carlisle,Write-In,1
ELL 014,2021,General,"Blank, Void, and Scattering",Write-In,2
ELL 014,2021,General,Byron Brown,Write-In,78
ELL 014,2021,General,India B. Walton,Democratic,86
ELL 014,2021,General,Jaz Miles,Write-In,1
ELL 014,2021,General,William O'Dell,Write-In,0
ELL 014,2019,General,Darius G. Pridgen,Democratic,57
ELL 014,2019,General,"Blank, Void, & Scattering",N/A,14
ELL 015,2021,General,Ben Carlisle,Write-In,0
ELL 015,2021,General,"Blank, Void, and Scattering",Write-In,5
ELL 015,2021,General,Byron Brown,Write-In,64
ELL 015,2021,General,India B. Walton,Democratic,100
ELL 015,2021,General,Jaz Miles,Write-In,0
ELL 015,2021,General,William O'Dell,Write-In,0
ELL 015,2019,General,Darius G. Pridgen,Democratic,70
ELL 015,2019,General,"Blank, Void, & Scattering",N/A,35
ELL 016,2021,General,Ben Carlisle,Write-In,0
ELL 016,2021,General,"Blank, Void, and Scattering",Write-In,4
ELL 016,2021,General,Byron Brown,Write-In,100
ELL 016,2021,General,India B. Walton,Democratic,100
ELL 016,2021,General,Jaz Miles,Write-In,0
ELL 016,2021,General,William O'Dell,Write-In,0
ELL 016,2019,General,Darius G. Pridgen,Democratic,120
ELL 016,2019,General,"Blank, Void, & Scattering",N/A,26
ELL 024,2021,General,Ben Carlisle,Write-In,0
ELL 024,2021,General,"Blank, Void, and Scattering",Write-In,2
ELL 024,2021,General,Byron Brown,Write-In,52
ELL 024,2021,General,India B. Walton,Democratic,23
ELL 024,2021,General,Jaz Miles,Write-In,0
ELL 024,2021,General,William O'Dell,Write-In,0
ELL 024,2019,General,Darius G. Pridgen,Democratic,27
ELL 024,2019,General,"Blank, Void, & Scattering",N/A,11
ELL 025,2021,General,Ben Carlisle,Write-In,0
ELL 025,2021,General,"Blank, Void, and Scattering",Write-In,1
ELL 025,2021,General,Byron Brown,Write-In,94
ELL 025,2021,General,India B. Walton,Democratic,58
ELL 025,2021,General,Jaz Miles,Write-In,0
ELL 025,2021,General,William O'Dell,Write-In,1
ELL 025,2019,General,Darius G. Pridgen,Democratic,81
ELL 025,2019,General,"Blank, Void, & Scattering",N/A,16
ELL 029,2021,General,Ben Carlisle,Write-In,0
ELL 029,2021,General,"Blank, Void, and Scattering",Write-In,7
ELL 029,2021,General,Byron Brown,Write-In,186
ELL 029,2021,General,India B. Walton,Democratic,178
ELL 029,2021,General,Jaz Miles,Write-In,0
ELL 029,2021,General,William O'Dell,Write-In,0
ELL 029,2019,General,Darius G. Pridgen,Democratic,200
ELL 029,2019,General,"Blank, Void, & Scattering",N/A,21
ELL 033,2021,General,Ben Carlisle,Write-In,1
ELL 033,2021,General,"Blank, Void, and Scattering",Write-In,4
ELL 033,2021,General,Byron Brown,Write-In,159
ELL 033,2021,General,India B. Walton,Democratic,15
ELL 033,2021,General,Jaz Miles,Write-In,0
ELL 033,2021,General,William O'Dell,Write-In,0
ELL 033,2019,General,Darius G. Pridgen,Democratic,78
ELL 033,2019,General,"Blank, Void, & Scattering",N/A,25
ELL 034,2021,General,Ben Carlisle,Write-In,2
ELL 034,2021,General,"Blank, Void, and Scattering",Write-In,7
ELL 034,2021,General,Byron Brown,Write-In,53
ELL 034,2021,General,India B. Walton,Democratic,36
ELL 034,2021,General,Jaz Miles,Write-In,0
ELL 034,2021,General,William O'Dell,Write-In,0
ELL 034,2019,General,Darius G. Pridgen,Democratic,43
ELL 034,2019,General,"Blank, Void, & Scattering",N/A,11
ELL 035,2021,General,Ben Carlisle,Write-In,1
ELL 035,2021,General,"Blank, Void, and Scattering",Write-In,9
