jurisdiction,righttoaddress,rightfromaddress,lefttoaddress,leftfromaddress,nysstreetid,objectid,highwaynumber,leftpostal,shape_length,rightpostal,fcc,acc,completestreetname,speed
12,117,59,116,58,477798423,10481,,14204,154.85640122360283,14204,A41,5,Tennessee Street,25
12,149,133,150,134,477796709,10193,,14203,75.854724968347952,14203,A31,4,South Park Avenue,35
12,391,361,390,360,477787096,8354,,14222,109.75676790067965,14222,A41,4,Bryant Street,25
12,99,1,98,2,477794037,6556,,14206,203.83399016158555,14206,A41,5,Newell Street,25
12,498,404,499,405,506020637,8928,,14202,289.9484102945587,14201,A41,5,Amvets Drive,25
12,99,1,98,2,477792175,6608,,14212,82.83912602153481,14212,A41,5,South Market Street,25
12,399,161,398,158,477790220,6311,,14211,497.5861885671298,14211,A40,5,Strauss Street,25
12,49,5,48,32,477797237,10225,,14204,155.81052865212428,14204,A41,5,Miami Street,25
12,99,1,98,2,477790765,6431,,14212,180.33607126639347,14212,A41,5,Rommel Avenue,25
01,1777,1711,1776,1710,477789117,1127,62,14211,169.04263847121879,14211,A21,3,Bailey Avenue,35
12,129,109,,,477794559,7541,,14202,56.644520758822125,14202,A40,5,Lower Terrace Street,25
12,37,1,38,2,477799055,9644,,14204,134.8700060937872,14210,A40,5,Saint Clair Street,25
12,129,127,128,126,477792743,7769,,14202,20.778623631068974,14201,A31,3,Niagara Street,35
12,141,105,140,94,477791208,7848,,14201,131.35044309011963,14201,A31,3,West Tupper Street,35
12,45,43,44,38,477794377,7528,,14202,39.684628005634252,14202,A30,4,Franklin Street,35
12,29,1,28,2,477789647,7930,,14201,96.12690986373012,14201,A40,5,Orton Place,25
12,99,11,98,8,477796852,10697,,14210,75.361796687281554,14210,A41,5,Daytona Place,25
12,99,1,98,2,477789761,1088,,14212,77.569907180568194,14212,A41,5,Brier Street,25
12,215,145,214,144,477791101,7909,,14201,211.51335228586936,14201,A40,5,Whitney Place,25
12,99,1,98,2,477796573,9802,,14203,46.090499419792444,14203,A41,5,Seymour H Knox Iii Plaza,25
12,255,231,254,230,477790509,7916,,14201,78.07737956659291,14201,A41,5,Maryland Street,25
