ED,YEAR,ELECTION,CANDIDATE,PARTY,Value
ELL 2 (FIL 5),2021,Primary,"Blank, Void, & Scattering",N/A,2
"ELL 3 (8, 9)",2021,Primary,"Blank, Void, & Scattering",N/A,1
ELL 14 ,2021,Primary,"Blank, Void, & Scattering",N/A,0
ELL 15 (FIL 1),2021,Primary,"Blank, Void, & Scattering",N/A,4
ELL 16,2021,Primary,"Blank, Void, & Scattering",N/A,1
ELL 18 (FIL 3),2021,Primary,"Blank, Void, & Scattering",N/A,0
"ELL 24 (FIL 2, 4, 6, 7)",2021,Primary,"Blank, Void, & Scattering",N/A,2
ELL 25 (26),2021,Primary,"Blank, Void, & Scattering",N/A,2
"ELL 29 (30, 31)",2021,Primary,"Blank, Void, & Scattering",N/A,1
ELL 33 (FIL 8),2021,Primary,"Blank, Void, & Scattering",N/A,6
"ELL 34 (35, 36)",2021,Primary,"Blank, Void, & Scattering",N/A,0
"FIL 9 (LOV 6, 7)",2021,Primary,"Blank, Void, & Scattering",N/A,0
"FIL 10 (15, 18)",2021,Primary,"Blank, Void, & Scattering",N/A,4
FIL 11 (35),2021,Primary,"Blank, Void, & Scattering",N/A,3
FIL 12 (13),2021,Primary,"Blank, Void, & Scattering",N/A,3
FIL 14 (16),2021,Primary,"Blank, Void, & Scattering",N/A,1
FIL 17 (LOV 23)    ,2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 19,2021,Primary,"Blank, Void, & Scattering",N/A,0
"FIL 20 (22, 34)",2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 21 (24),2021,Primary,"Blank, Void, & Scattering",N/A,0
"FIL 23 (26, 27)",2021,Primary,"Blank, Void, & Scattering",N/A,4
FIL 25 (28),2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 29 (30),2021,Primary,"Blank, Void, & Scattering",N/A,0
FIL 31,2021,Primary,"Blank, Void, & Scattering",N/A,1
FIL 32 (33) ,2021,Primary,"Blank, Void, & Scattering",N/A,2
NIA 19 (25),2021,Primary,"Blank, Void, & Scattering",N/A,4
ELL 2 (FIL 5),2021,Primary,Byron W. Brown,Democratic,60
"ELL 3 (8, 9)",2021,Primary,Byron W. Brown,Democratic,76
ELL 14 ,2021,Primary,Byron W. Brown,Democratic,17
ELL 15 (FIL 1),2021,Primary,Byron W. Brown,Democratic,51
ELL 16,2021,Primary,Byron W. Brown,Democratic,41
ELL 18 (FIL 3),2021,Primary,Byron W. Brown,Democratic,40
"ELL 24 (FIL 2, 4, 6, 7)",2021,Primary,Byron W. Brown,Democratic,72
ELL 25 (26),2021,Primary,Byron W. Brown,Democratic,136
"ELL 29 (30, 31)",2021,Primary,Byron W. Brown,Democratic,217
ELL 33 (FIL 8),2021,Primary,Byron W. Brown,Democratic,101
"ELL 34 (35, 36)",2021,Primary,Byron W. Brown,Democratic,83
"FIL 9 (LOV 6, 7)",2021,Primary,Byron W. Brown,Democratic,77
"FIL 10 (15, 18)",2021,Primary,Byron W. Brown,Democratic,104
FIL 11 (35),2021,Primary,Byron W. Brown,Democratic,117
FIL 12 (13),2021,Primary,Byron W. Brown,Democratic,82
FIL 14 (16),2021,Primary,Byron W. Brown,Democratic,33
FIL 17 (LOV 23)    ,2021,Primary,Byron W. Brown,Democratic,26
FIL 19,2021,Primary,Byron W. Brown,Democratic,40
"FIL 20 (22, 34)",2021,Primary,Byron W. Brown,Democratic,90
FIL 21 (24),2021,Primary,Byron W. Brown,Democratic,28
"FIL 23 (26, 27)",2021,Primary,Byron W. Brown,Democratic,64
FIL 25 (28),2021,Primary,Byron W. Brown,Democratic,40
